Title,Date,Location,Department,Views,Amount(INR)
Harassed and asked bribe to get permission for beers at check post,06-01-20,"Pondicherry,Pondicherry",Excise,1880,500
Issue with Rohith Gas Agency @ Konankunte,06-01-20,"Bangalore,Karnataka",LPG Gas Cylinder,1612,50
Passport Verification Chai Pani,06-01-20,"Agra,UttarPradesh",Verification and Certificates,1758,500
Paid bribe for tint sheet on windows,06-01-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1430,300
Paid bribe at help counter,03-01-20,"Hyderabad,Telangana",Driving Licenses and Tests,2600,500
Revolution Electric Cigarette Machine at Hardworkingproducts.com,03-01-20,"Gandhidham,Gujarat",Others,1691,1200
Corruption DC Office Bangalore,03-01-20,"Bangalore,Karnataka",Court Related,2002,1500000
Pension regarding,02-01-20,"Ballia,UttarPradesh",Pension Processing,1591,4000
For cooruption,31-12-19,"Kushinagar,UttarPradesh",Police Investigation,3171,50000
Harassed and asked bribe to allow beer cans at checkpost,31-12-19,"Pondicherry,Pondicherry","Traffic Fines, Penalties, Rules",2238,500
Complaint regarding asking bribe by aadhar department employee,31-12-19,"NewDelhi,Delhi",Aadhaar Card,1955,500
FSO demanded for bribe through his helper,31-12-19,"Silvassa,DadraandNagarHaveli",,881,15000
Asked bribe for property name change,30-12-19,"Hyderabad,Telangana",Building and Housing,2417,5000
Uber driver stopped my cab on the road,28-12-19,"NewDelhi,Delhi","Traffic Fines, Penalties, Rules",2162,200
Bribe for Form no 3,27-12-19,"Sagar,MadhyaPradesh",Khata,1594,600
I was stopped only to collect Bribe,27-12-19,"Dharwad,Karnataka","Traffic Fines, Penalties, Rules",1717,500
SILIÂ® OFFROAD - Suspension Hoverkart Go-kart Attachment Buggy UK,27-12-19,"Lakhisarai,Bihar",Others,1975,74
Bribe was paid for Police Verification,27-12-19,"Mumbai,Maharashtra",Police Clearance Certificate,3545,200
I paid to get new ration card for my uncle,26-12-19,"Thane,Maharashtra",Certificates,2363,500
Case workers torture people for bribe,22-12-19,"Tumkur,Karnataka",Land Registration,2246,1000
Bribe for taking back the complaint,22-12-19,"Bangalore,Karnataka",FIR and Complaints,1746,350000
E khata bribe,18-12-19,"Sirsi,UttarPradesh",Khata,1877,1000000
Demand of bribe during passport renewal by Bindhannagar ploice,17-12-19,"BidhanNagar,WestBengal",Issue and Renewal of Passport,1635,700
Steno hold files for bribe,16-12-19,"Bhilai,Chhattisgarh",Public Works,2536,1000
I have to pay bribe for 7/12,16-12-19,"Pune,Maharashtra",Land Registration,2647,12000
FOR INCOME TAX ASSESSMENT,16-12-19,"Ludhiana,Punjab",Income Tax,2402,60000
Corruption,16-12-19,"Dungarpur,Rajasthan",Domestic,1417,1500
BBMP corruption,14-12-19,"Bangalore,Karnataka",Building and Housing,1889,1000000
Sub registrar Bommanahalli Bangalore,14-12-19,"Bangalore,Karnataka",Registrations and Licenses,1830,1000000
Fir related,13-12-19,"Coimbatore,TamilNadu",Filing FIR,3147,400
Paid Rs 2000 as bribe to traffic police at Kalka Temple New delhi,12-12-19,"NewDelhi,Delhi","Traffic Fines, Penalties, Rules",2243,2000
THE AGENT TOOK 300 RS ONLY FOR GIVING DIRECTION HERE AND,11-12-19,"Nagpur,Maharashtra",Services,1922,300
The Accountant asked for bribe for getting passbook updated,11-12-19,"Lohardaga,Jharkhand",Money Order and Passbook,1088,1000
Bribe for online motation,10-12-19,"Gaya,Bihar",,2138,30000
Kalluripalli Housing Board Officer Asks For A Bribe,10-12-19,"Nellore,AndhraPradesh",Aadhaar Card Process,2986,10000
Teacher gets bribe from students,09-12-19,"Cuddalore,TamilNadu",School or College Related,1655,500
For sale deed transfer,09-12-19,"Bangalore,Karnataka",Registrations and Licenses,1577,800
Excessive charges as penalty from the Police Person and time waste,09-12-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1469,500
Bribe paid to get a bike that was being toed,08-12-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1519,1200
Head Constable Delhi Police,08-12-19,"NewDelhi,Delhi","Traffic Fines, Penalties, Rules",1852,3000
Bribe for new water and sewage connection,05-12-19,"Chennai,TamilNadu",Water Connection,3418,30000
Not issuing professional tax registration certificate,04-12-19,"Begusarai,Bihar",Professional Tax,1975,500
Police Verification for Passport issue,04-12-19,"Gurgaon,Haryana",Verification and Certificates,1822,1000
We are doing paid water supply to the vulnerable villages to the coalition of AP.Govt,03-12-19,"Chittoor,AndhraPradesh",Bills and Payment,1329,5000
"Corrupt Branch manager, Indian Bank",02-12-19,"Bangalore,Karnataka",Loans,1696,100000
Corruption at sub register office bommanahalli,02-12-19,"Bangalore,Karnataka",Land Registration,1593,25000
Bribe asked for certificates,01-12-19,"Muzaffarpur,Bihar",College Leaving Certificate,2753,100
Registration of flat,01-12-19,"Bangalore,Karnataka",,1620,11000
Useless RTO people name PRASAD who is a helper there not even an officer,30-11-19,"Chittoor,AndhraPradesh",Others,1415,10000
Principal  asking Rs:- 50000 by cash to my child in L.G.K Standard,30-11-19,"Chennai,TamilNadu",Employee Grievances,2887,50000
Pressuring to give bribe.,29-11-19,"Patiala,Punjab","Traffic Fines, Penalties, Rules",1483,15000
Address  reasons,29-11-19,"Pune,Maharashtra",Police Clearance Certificate,3957,1000
House no is not mentioned in address that reasons,29-11-19,"Pune,Maharashtra",,2591,1000
Driving license related,29-11-19,"Chikballapur,Karnataka",Services,1264,1500
Paid a bribe to get encumberance certificate,28-11-19,"Bangalore,Karnataka",Certificates,1761,500
Toll away of vehicles,28-11-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1482,650
Paid in  the name of lawyer fees,28-11-19,"Bangalore,Karnataka",Property Registration,1437,34000
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-",28-11-19,"NewDelhi,Delhi","Traffic Fines, Penalties, Rules",1903,17000
Property Registration,27-11-19,"Bangalore,Karnataka",Property Registration,1379,9500
Indira Gandhi International Airport terminal 3,26-11-19,"NewDelhi,Delhi",Excess Baggage,2802,2500
They asking me bribe for community certificate,26-11-19,"Thiruvarur,TamilNadu",Certificates,1116,100
Birhalganj police asking for bribe,26-11-19,"Gorakhpur,UttarPradesh",FIR and Complaints,1391,10000
Paid bribe for bike towed from parking place,24-11-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1556,1000
Over speeding,24-11-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1448,350
Corruption,23-11-19,"Yellandu,Telangana",Land Registration,1110,8000
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",23-11-19,"Pollachi,TamilNadu",Verification and Certificates,1445,1000
Traffic Cop Took Bribe,23-11-19,"Chennai,TamilNadu","Traffic Fines, Penalties, Rules",2739,150
Department not moving the fields closing with out any information,22-11-19,"Tumkur,Karnataka",Caste Certificate,2894,1000
Address Verification for Passport Application,21-11-19,"Satara,Maharashtra",Verification and Certificates,1315,1000
Paid bribe to police officer for passport verification,21-11-19,"Ranchi,Jharkhand",Policies and Procedures,2043,2000
Conflict of interest.,21-11-19,"NewDelhi,Delhi",Commercial and Industrial,1773,68000
They are taking condonation over the limite,20-11-19,"Visakhapatnam,AndhraPradesh",Certificates,1929,10000
Fraud company,19-11-19,"Gurgaon,Haryana",Others,2334,2200
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,19-11-19,"Punganur,AndhraPradesh",Certificates,779,500
License LLR,18-11-19,"Vijayawada,AndhraPradesh",Others,1994,300
Amount paid to obtain food license,18-11-19,"Bangalore,Karnataka",Food License,1289,4000
Paid bribe for birth certificate,18-11-19,"Guntur,AndhraPradesh",Certificates,1126,4000
Constable asked for bribe,18-11-19,"Ramagundam,Telangana",Policies and Procedures,668,1000
LEGAL METROLOGY,18-11-19,"Rajahmundry,AndhraPradesh",Others,1431,650
No license,18-11-19,"Guntakal,AndhraPradesh",Autorickshaws,2787,500
Police verification for passport,17-11-19,"Vadodara,Gujarat",Verification and Certificates,1451,200
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,16-11-19,"Pithoragarh,Uttarakhand",Loans,1028,3000
Bribe Rs 45000 to ESE Bokaro for payment,15-11-19,"Bokaro,Jharkhand",Services,1560,45000
Nandi Hills,15-11-19,"Bangalore,Karnataka",Others,2098,300
"Pariksha Bhavan, Bangalore University",15-11-19,"Bangalore,Karnataka",Certificates,2069,100
Police verification,15-11-19,"Gondiya,Maharashtra",Policies and Procedures,1132,200
I paid a Bribe,15-11-19,"Bangalore,Karnataka",Land Registration,1211,30000
For drug license,14-11-19,"Sagar,MadhyaPradesh",License for Sale of Drugs,2520,20000
Corruption in jal nigam in dehradun,13-11-19,"Dehradun,Uttarakhand",Water Connection,1895,1500
Ticket checker take 200,13-11-19,"Rewari,Haryana",,1094,200
Solar net meter connection,11-11-19,"Nashik,Maharashtra",Change of Tariff in Domestic to Commercial,2914,2000
I paid a bribe to TTR,11-11-19,"Katpadi,TamilNadu",Ticket and Seat Related,766,100
Rs. 500 asked for issuing salary acquittance,11-11-19,"Coimbatore,TamilNadu",College Leaving Certificate,2784,500
Paid bribe to RTO Motor Vehicle Inspector through broker,11-11-19,"Chennai,TamilNadu",Vehicle Fitness,2717,3000
Padwad name of officer,10-11-19,"Banda,UttarPradesh",Customs Check and Clearance,1204,20000
Near zeromile(hfc gate)chek post.,10-11-19,"Begusarai,Bihar",FIR and Complaints,1514,100
I Think I Paid a Bribe,09-11-19,"Jaipur,Rajasthan","Traffic Fines, Penalties, Rules",1439,300
I think I paid a bribe,09-11-19,"Jaipur,Rajasthan","Traffic Fines, Penalties, Rules",1473,300
Chief Fire Officer demanded large sums for handing over the Fire Advisory,07-11-19,"Bangalore,Karnataka",Others,1259,200000
Paid bribe behalf of our company,07-11-19,"Surat,Gujarat",Services,1852,800
We were defaulters in paying the common board electricity bill in apartments,07-11-19,"Chennai,TamilNadu",Payment and Arrears,2125,5000
UPCL new connection brige,06-11-19,"Dehradun,Uttarakhand",Change of Tariff in Domestic to Commercial,2574,1500
Residential Building plan approval,06-11-19,"Chennai,TamilNadu",Building Construction Approval,3092,30000
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,06-11-19,"Lumding,Assam",Telephone and Internet Connection,774,20000
Bribe 500 Rs for issuing birth certificate,05-11-19,"Kota,Rajasthan","Births, Family and Care",1759,500
Pensioner Alive procedures,05-11-19,"Nagpur,Maharashtra",Policies and Procedures,1829,2000
Https://rbinnovations.com/collections/super-chargers/xtm-racing,01-11-19,"Adilabad,Telangana",Others,1804,1222
Traxxas T-Maxx 3.3 & 2.5 / Sport Maxx / S-Maxx / Nitro 4 Tec Supercharger,01-11-19,"Adari,UttarPradesh",Others,1969,1200
Losi XXXNT Supercharger - Losi XXXNT For Sale,01-11-19,"Abohar,Punjab",Others,1988,1222
Losi XXXNT Supercharger - Losi XXXNT For Sale,01-11-19,"GreaterNoida,UttarPradesh",Others,1495,1200
Mandal Agriculture officer Atmakur,01-11-19,"Warangal,Telangana",Others,1292,10000
Completely bribe in KGF RTO end to end,31-10-19,"Kolar,Karnataka",Vehicle Fitness,1399,3000
Lady was asking for bribe,31-10-19,"Bilaspur,Chhattisgarh",Sales Tax,1304,2000
Kollala Deputy Tahsildar Office is selling Public Records.,29-10-19,"Tumkur,Karnataka",Certificates,2227,500
Found Theft bike,29-10-19,"Chitradurga,Karnataka",,1648,7000
I was robbed of Rs100 by RTO,28-10-19,"Nashik,Maharashtra","Traffic Fines, Penalties, Rules",2339,100
Corruption,26-10-19,"Chennai,TamilNadu",FIR and Complaints,1898,2500
The Officer is corrupt,26-10-19,"Gulbarga,Karnataka",Verification and Certificates,1709,1600
Bribes taken for LDC post in Darjeeling district Court examination 2019 batch,25-10-19,"Darjeeling,WestBengal",Government Personnel,1028,800000
Paid a bribe of 9000 rupees for property registration,25-10-19,"Vijayawada,AndhraPradesh",Property Registration,1477,9000
Corrupted officer,25-10-19,"Nashik,Maharashtra",Saplings and Tree Cover,1968,50000
INDIRECTLY FORCED APPLIED,25-10-19,"Rudauli,UttarPradesh",Change of Tariff in Domestic to Commercial,2381,1
AR9 9mm BCG Bolt Carrier Group Assembly Mag-Phos- U.S MADE,25-10-19,"Adari,UttarPradesh",Others,2004,1200
How To Select Boating Shoes That Are Handy As Well As Fashionable,25-10-19,"NewDelhi,Delhi",Others,1688,1200
Asked bribe to initiate police verification.,25-10-19,"Ghaziabad,UttarPradesh",Verification and Certificates,2087,500
Refill Your Electronic Cigarette Cartridges Timely To Have Smokeless Smoking Experience,24-10-19,"NewDelhi,Delhi",Others,1708,122
The Top Electric Scooters and Hoverboards - Is the World Finally Set to Accept Them?,24-10-19,"NewDelhi,Delhi",Others,1686,1200
TTE was constantly asking for bribe even though we have confirmed ticket,23-10-19,"Pune,Maharashtra",Ticket and Seat Related,2627,300
Name of Officer: Amit Shrivastav Date of Incident: 28-June-2019…,23-10-19,"Indore,MadhyaPradesh",Others,2019,5000
Bribe Collected by document writter,23-10-19,"Sivagiri,TamilNadu",Property Registration,688,25000
Smoking in public place,23-10-19,"Bangalore,Karnataka",Police Harassment,2808,250
Demanding money by police by running hotel,22-10-19,"NewDelhi,Delhi",Autorickshaws,2710,1000
The RTO in Amingaon is impossible to deal with.,21-10-19,"Guwahati,Assam",Driving Licenses and Tests,1770,600
They have not given change,21-10-19,"Bangalore,Karnataka",College Leaving Certificate,2671,5
Promotion and posting scam,21-10-19,"Bangalore,Karnataka",Bill Payment,2592,500000
I paid to get tempreory connection,20-10-19,"Koppal,Karnataka",Electricity Connection,1795,2000
Passport address verification,19-10-19,"Bangalore,Karnataka",Verification and Certificates,1184,500
Bribe asked by BDO,19-10-19,"Nagapattinam,TamilNadu",Public Works,2361,10000
Regarding bribing the police for passport verification.,19-10-19,"Gopalganj,Bihar",Police Verification for Passport,2456,1800
Regarding bribing the police for passport verification.,19-10-19,"Gopalganj,Bihar",Verification and Certificates,1417,1800
Regarding bribing the police for passport verification,19-10-19,"Gopalganj,Bihar",Verification and Certificates,1473,1800
Police verification,18-10-19,"Dehradun,Uttarakhand",Policies and Procedures,1811,200
Paid bride,16-10-19,"NewDelhi,Delhi",Vehicle Insurance,1733,1000
Traffic police,16-10-19,"NewDelhi,Delhi",Vehicle Insurance,1665,500
Complain for irresponsible officers,15-10-19,"Barh,Bihar",Land Registration,714,10000
Traffic Police exaggerated fine forceful,15-10-19,"Pune,Maharashtra","Traffic Fines, Penalties, Rules",2515,2000
Duplicate license copy for photo shoot,15-10-19,"Viluppuram,TamilNadu",Duplicate Driving License,3393,200
This Festive season just got more interesting,15-10-19,"Mumbai,Maharashtra",Loans,2139,42900
To file case and to provide FIR the 2nd floor nolambur police writer police men and women,14-10-19,"Chennai,TamilNadu",FIR and Complaints,1884,4000
After the change of currency the financial system will fall secure your self now while you can,14-10-19,"Mumbai,Maharashtra",Assessment,3427,78500
For selling banned medicine and not having valid license,13-10-19,"Sitamarhi,Bihar",Pharmacy,1131,25000
Becoming A Millionaire in a fast growing economy like India is easy,12-10-19,"Mumbai,Maharashtra",Sales Tax,2177,987600
I am a post office femle agent,12-10-19,"Jalaun,UttarPradesh",Savings Scheme,602,50
They fined the People without reason and the show the fear of law to common people n collect money,12-10-19,"Pune,Maharashtra","Traffic Fines, Penalties, Rules",2447,1000
Bribe for legal heir certificate,11-10-19,"Vellore,TamilNadu",Certificates,2038,500
Ripnsalt Disposables & Nicotine Salts E-Liquid at Calivapepods.com,11-10-19,"Adityapur,Jharkhand",Others,1932,1200
"Change your future, bitcoin is going to replace banks",11-10-19,"Faridabad,Haryana",Certificates,1745,68700
Your chance of safe heaven investment,11-10-19,"Adityapur,Jharkhand",Commercial and Industrial,1809,456000
"Bitcoin is back up,This is your chance",11-10-19,"Yemmiganur,AndhraPradesh",Fire License,1431,678000
I am a cha in custom the babu of custom officer is always asked me how much conenor i have,11-10-19,"Jaipur,Rajasthan",,1467,10000
Hoverboards Segway/Swegway Circuit Board Repair Kit UK,11-10-19,"Achhnera,UttarPradesh",Others,1710,12
Making alot of money is easy now,11-10-19,"Chennai,TamilNadu",Sales Tax,1585,548900
GET RICH FAST LEGALY,11-10-19,"Mumbai,Maharashtra",Others,2026,87900
Losi XXXNT Supercharger & Spare Parts at RBinnovations.com,11-10-19,"Amadalavalasa,AndhraPradesh",Others,944,22
"Get your Loan Approval,easy access fast transfer",10-10-19,"Mumbai,Maharashtra",Sales Tax,1979,900000
Wrong side driving by UBER Driver,10-10-19,"Noida,UttarPradesh","Traffic Fines, Penalties, Rules",2244,500
PERSONAL LOANS UNDER 30 MINUETS,09-10-19,"Mumbai,Maharashtra",Sales Tax,1962,30000
For registration of aadhar card,09-10-19,"Guwahati,Assam",Others,1747,300
Paid bribe to the BBMP Inspector to do perform his duty.,08-10-19,"Bangalore,Karnataka",Services,1106,500
